center_x,center_y,center_z,psi
0.9092837930172883,1.9355517710873194,5.574220708434928,0.0
0.8786461952530948,1.9072105833726685,5.562884233349068,0.0
0.8480528666170475,1.87904195977492,5.551616783909968,0.0
0.8175050148813767,1.8510503484462806,5.540420139378512,0.0
0.7870038460229629,1.8232401695866685,5.529296067834667,0.0
0.7565505641757257,1.7956158147457115,5.518246325898285,0.0
0.7261463715830887,1.7681816461292705,5.507272658451708,0.0
0.6957924685505144,1.7409419959105972,5.496376798364238,0.0
0.6654900533981234,1.7139011655462348,5.485560466218494,0.0
0.6352403224133747,1.6870634250967615,5.474825370038705,0.0
0.6050444698038542,1.6604330125525089,5.4641732050210035,0.0
0.5749036876501197,1.6340141331643274,5.453605653265731,0.0
0.544819165858641,1.6078109587795302,5.443124383511812,0.0
0.514792092114825,1.5818276271831087,5.432731050873244,0.0
0.48482365183612974,1.5560682414443305,5.422427296577732,0.0
0.4549150281252632,1.5305368692688175,5.412214747707527,0.0
0.42506740172347723,1.5052375423562037,5.402095016942481,0.0
0.39528195096395335,1.4801742557634874,5.392069702305395,0.0
0.36555985172528827,1.4553509672741647,5.382140386909666,0.0
0.3359022773850673,1.430771596773249,5.3723086387093,0.0
0.30631039877354316,1.4064400256282759,5.362576010251311,0.0
0.2767853841274146,1.382360096076389,5.3529440384305556,0.0
0.24732839904370474,1.3585356106176087,5.343414244247043,0.0
0.2179406064337459,1.3349703314143706,5.333988132565748,0.0
0.18862316647727173,1.311667979697439,5.324667191878976,0.0
0.1593772365766113,1.288632235178279,5.315452894071312,0.0
0.1302039713109986,1.2658667354679882,5.306346694187195,0.0
0.10110452239099499,1.2433750755028772,5.297350030201151,0.0
0.0720800386130176,1.221160806976787,5.288464322790714,0.0
0.04313166581398775,1.1992274377802326,5.279690975112093,0.0
0.014260546826096565,1.177578431446471,5.271031372578588,0.0
-0.014532178568313014,1.1562172066045657,5.262486882641826,0.0
-0.04324537368174486,1.1351471364395447,5.254058854575818,0.0
-0.07187790496642066,1.1143715481597405,5.245748619263896,0.0
-0.10042864205903168,1.0938937224713803,5.237557488988552,0.0
-0.12889645782536352,1.0737168930605265,5.229486757224211,0.0
-0.1572802284047956,1.053844246082441,5.221537698432977,0.0
-0.18557883325466573,1.034278919658452,5.213711567863381,0.0
-0.21379115519450886,1.015024003380411,5.206009601352164,0.0
