A,T,r_rl_obs
0.3125,7.896551724137931,-197.5028324057968
0.3125,8.0,-196.59546402986368
0.4166666666666667,5.0,-335.54531924114076
0.4166666666666667,5.103448275862069,-338.89431196050197
0.4166666666666667,5.206896551724138,-341.56661722446506
0.4166666666666667,5.310344827586207,-343.2321652048594
0.4166666666666667,5.413793103448276,-343.82624443002715
0.4166666666666667,5.517241379310345,-343.3041429647043
0.4166666666666667,5.620689655172414,-341.9664291952794
0.4166666666666667,5.724137931034483,-340.0437623485948
0.4166666666666667,5.827586206896552,-337.8989640173173
0.4166666666666667,5.931034482758621,-335.65279991266704
0.4166666666666667,6.0344827586206895,-333.54340325860704
0.4166666666666667,6.137931034482759,-331.7052218010848
0.4166666666666667,6.241379310344827,-330.2104153545089
0.4166666666666667,6.344827586206897,-329.040505175801
