time,in1,in2,in3,in1_obs,in2_obs,in3_obs,in1_e_1st,in2_e_1st,in3_e_1st,out1,out2,out3,out1_obs,out2_obs,out3_obs,out1_e_1st,out2_e_1st,out3_e_1st
10.419999999999822,0.0,0.0,0.8351034313956921,0.0,0.0,0.19524513682338235,0.0002585322411172708,-0.0011291742707121855,-1.7484601947947986e-05,-0.3454238010798579,-1.9693279255014111,-0.041031155707715594,-0.3585449952533691,-1.4641672183438492,0.011600666181781384,-1.4702577399994254e-07,-0.00011154447338868057,6.114793288602982e-06
10.429999999999822,0.0,0.0,0.8564220074299336,0.0,0.0,0.2926070886051124,-0.0002484714808339561,-0.001166799550412101,4.480941150947215e-05,-0.34019789917535476,-2.001306680043322,-0.035760274056027,-0.37086105404951086,-1.5296807143228908,-0.00039763904735418826,-1.3714093882732925e-07,-0.0001098002186193936,-1.235263837884304e-07
10.439999999999822,0.0,0.0,0.8746872254368537,0.0,0.0,0.22363789845378307,-0.0003591003092786038,-0.0006308507907885619,-1.1283209715828857e-05,-0.3349379777644314,-2.0298270524655417,-0.029823931740515786,-0.3521832051731562,-1.595181415371904,-0.027726540084832853,7.254166722869826e-07,-0.00010971446684682196,-3.3248248820783033e-06
10.449999999999822,0.0,0.0,0.89035784224161,0.0,0.0,0.3176607638896737,-0.00013649580001395822,-0.0008110393292013462,3.897140692898926e-05,-0.3296445628348457,-2.054776485887835,-0.023218657375062013,-0.33554319396545806,-1.660141862045515,0.002526322431003234,4.569772311668885e-07,-0.00010613927432345793,4.9928210317240485e-06
10.459999999999821,0.0,0.0,0.9036772883485583,0.0,0.0,0.4123191430385344,-0.00036268907511710635,-0.001120488445097767,4.0035790613068833e-05,-0.3243181837236793,-2.0760565162948046,-0.015941580319273063,-0.354999665457126,-1.7243956983315931,0.023198177420334386,-8.541544980200655e-07,-0.00010159594017633555,1.0884234831198825e-06
10.469999999999821,0.0,0.0,0.9143563261650136,0.0,0.0,0.4865482201823623,-0.0005748508176757761,-0.0006186232690960081,1.5139390781515605e-05,-0.31895937306440497,-2.093583161128351,-0.007990434450324546,-0.34391131680258125,-1.7881819914039205,-0.008671661034622552,9.010473145387721e-08,-9.867100685845287e-05,-6.14893004780015e-06
10.479999999999821,0.0,0.0,0.9226407223282013,0.0,0.0,0.5546346984855647,-0.00025170045000688646,-0.00020828001615191827,1.0716565923385435e-05,-0.31356866673362266,-2.1072872507284757,0.0006364386558511959,-0.3279926206996437,-1.8508877093168326,0.00517026041215992,3.8274548086469906e-07,-9.215283102881333e-05,2.1880922362882416e-07
10.48999999999982,0.0,0.0,0.9288865683237241,0.0,0.0,0.6257916240837421,-0.00017406410671616523,-0.0005951616598451337,1.2784414920197218e-05,-0.30814660379747333,-2.117114701314336,0.009940087137399745,-0.34581238286119115,-1.911698267176123,0.032362624394282655,-6.010183295490634e-07,-8.150721501687386e-05,3.2588769569574794e-06
10.49999999999982,0.0,0.0,0.9329120860135095,0.0,0.0,0.7147533822781479,-0.0003651806712061112,-0.00020413409851199882,3.123385461256678e-05,-0.30269372645773224,-2.1230267284282003,0.019920946855956495,-0.33374660794964023,-1.9706442266062896,0.0021576341519228374,1.2632839574422405e-07,-7.196084716987183e-05,-4.961293309957426e-06
10.50999999999982,0.0,0.0,0.9347457155073059,0.0,0.0,0.7951458614162922,-0.00013593872150474695,0.00013837129955229788,2.082925999147278e-05,-0.2972105799975894,-2.125,0.030578840004811536,-0.3173119661704702,-2.0270522586796047,-0.00928753382752429,4.348315758573307e-07,-6.034536222354614e-05,-1.022748352674796e-07
